"","ticker_name","report_ticker","date","create_ts","contracts_traded","price"
"1","KXNCAAFPLAYOFF-25-LSU","KXNCAAFPLAYOFF","2025-09-17","2025-09-17T21:33:05-04:00",1,69
"2","KXNCAAFPLAYOFF-25-TEX","KXNCAAFPLAYOFF","2025-09-17","2025-09-17T21:10:16-04:00",6,64
"3","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-17","2025-09-17T17:53:02-04:00",8,32
"4","KXNCAAFPLAYOFF-25-ND","KXNCAAFPLAYOFF","2025-09-17","2025-09-17T15:00:03-04:00",1,23
"5","KXNCAAFPLAYOFF-25-TEX","KXNCAAFPLAYOFF","2025-09-17","2025-09-17T14:12:21-04:00",5,60
"6","KXNCAAFPLAYOFF-25-TEX","KXNCAAFPLAYOFF","2025-09-17","2025-09-17T14:12:21-04:00",1,46
"7","KXNCAAFPLAYOFF-25-UGA","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T23:32:35-04:00",10,74
"8","KXNCAAFPLAYOFF-25-TENN","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T23:23:08-04:00",35,29
"9","KXNCAAFPLAYOFF-25-USF","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T23:17:59-04:00",24,19
"10","KXNCAAFPLAYOFF-25-LOU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T22:35:55-04:00",5,17
"11","KXNCAAFPLAYOFF-25-BYU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T22:31:55-04:00",5,9
"12","KXNCAAFPLAYOFF-25-UTAH","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T22:31:18-04:00",5,27
"13","KXNCAAFPLAYOFF-25-PSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T22:18:01-04:00",1,79
"14","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T22:10:39-04:00",5,26
"15","KXNCAAFPLAYOFF-25-USF","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T22:10:28-04:00",5,19
"16","KXNCAAFPLAYOFF-25-NEB","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T21:52:55-04:00",50,12
"17","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T21:19:51-04:00",100,26
"18","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T21:16:57-04:00",80,26
"19","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T21:16:57-04:00",200,26
"20","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:51:27-04:00",10,27
"21","KXNCAAFPLAYOFF-25-PSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:51:21-04:00",29,79
"22","KXNCAAFPLAYOFF-25-MIZZ","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:44:13-04:00",16,17
"23","KXNCAAFPLAYOFF-25-MIZZ","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:36:04-04:00",527,17
"24","KXNCAAFPLAYOFF-25-OKLA","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:14:24-04:00",66,36
"25","KXNCAAFPLAYOFF-25-ISU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:13:17-04:00",25,17
"26","KXNCAAFPLAYOFF-25-MSST","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:12:05-04:00",50,4
"27","KXNCAAFPLAYOFF-25-TENN","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:07:40-04:00",100,29
"28","KXNCAAFPLAYOFF-25-UGA","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:06:53-04:00",10,74
"29","KXNCAAFPLAYOFF-25-BYU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T20:00:39-04:00",100,10
"30","KXNCAAFPLAYOFF-25-FSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T19:49:15-04:00",880,27
"31","KXNCAAFPLAYOFF-25-UGA","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T19:36:16-04:00",1,74
"32","KXNCAAFPLAYOFF-25-ORE","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T19:35:53-04:00",1,79
"33","KXNCAAFPLAYOFF-25-PSU","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T19:33:09-04:00",20,74
"34","KXNCAAFPLAYOFF-25-ALA","KXNCAAFPLAYOFF","2025-09-18","2025-09-18T19:32:24-04:00",20,43
