scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,arrivals_per_step,initial_pool,n_steps
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.0,0.1,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.1,0.2,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.2,0.30000000000000004,2,0.2777777777777778,1.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.30000000000000004,0.4,3,0.3703703703703704,0.6666666666666666,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.4,0.5,8,0.43055555555555547,0.375,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.5,0.6000000000000001,11,0.5555555555555555,0.5454545454545454,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.6000000000000001,0.7000000000000001,5,0.6444444444444445,0.4,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.7000000000000001,0.8,1,0.7037037037037037,1.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.8,0.9,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,beta_1_1,0.9,1.0,0,0.0,0.0,1,1.0,25
