scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,arrivals_per_step,initial_pool,n_steps
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.0,0.1,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.1,0.2,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.2,0.30000000000000004,2,0.275,1.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.30000000000000004,0.4,3,0.36666666666666664,0.6666666666666666,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.4,0.5,8,0.42624999999999996,0.375,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.5,0.6000000000000001,11,0.55,0.5454545454545454,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.6000000000000001,0.7000000000000001,6,0.6477777777777777,0.5,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.7000000000000001,0.8,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.8,0.9,0,0.0,0.0,1,1.0,25
A2_time_to_converge__arr1__seed240000__pool1.0__steps25,A2.TIME_TO_CONVERGE,A,240000,raw_parimutuel,0.9,1.0,0,0.0,0.0,1,1.0,25
