scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,arrivals_per_step,initial_pool,n_steps
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.0,0.4140495867768595,3,0.3677685950413223,0.6666666666666666,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.4140495867768595,0.4471074380165289,3,0.4256198347107438,0.0,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.4471074380165289,0.4975206611570248,3,0.4696969696969697,0.3333333333333333,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.4975206611570248,0.5545454545454546,3,0.5192837465564738,1.0,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.5545454545454546,0.5785123966942148,3,0.5661157024793388,0.6666666666666666,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.5785123966942148,0.5909090909090909,2,0.5826446280991735,0.5,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.5909090909090909,0.5909090909090909,0,0.0,0.0,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.5909090909090909,0.6008264462809918,7,0.5932703659976387,0.7142857142857143,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.6008264462809918,0.6247933884297521,3,0.6184573002754822,0.3333333333333333,3,1.0,40
A2_time_to_converge__arr3__seed240005__pool1.0__steps40,A2.TIME_TO_CONVERGE,A,240005,beta_0_5_0_5,0.6247933884297521,1.0,3,0.6460055096418733,1.0,3,1.0,40
