scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,adversarial_size_scale,attack_strength,attack_window
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.0,0.42123125,3,0.40036206896551724,0.6666666666666666,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.42123125,0.4576846153846154,3,0.44227745037220845,1.0,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.4576846153846154,0.49329310344827587,3,0.4730540296712109,0.3333333333333333,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.49329310344827587,0.5063793103448275,2,0.49813291139240506,1.0,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.5063793103448275,0.5134479166666667,4,0.5096926313628899,0.25,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.5134479166666667,0.5188392699440683,3,0.5162776489417298,1.0,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.5188392699440683,0.5270553797468354,3,0.5241099683544305,0.3333333333333333,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.5270553797468354,0.533675,3,0.53059496124031,0.6666666666666666,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.533675,0.5368500669344043,3,0.53562889794472,0.3333333333333333,3,1.0,1.0
A3_strategic_timing__attack100__seed250003__window100__scale3,A3.STRATEGIC_TIMING_ATTACK,A,250003,raw_parimutuel,0.5368500669344043,1.0,3,0.5556075738660008,0.3333333333333333,3,1.0,1.0
