scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,ml_bias,structural_shift
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.0,0.38744635178823483,3,0.36706008569381426,0.0,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.38744635178823483,0.399248926895531,2,0.3885193131616254,1.0,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.399248926895531,0.4314377680972477,2,0.399248926895531,0.5,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.4314377680972477,0.4593347638054023,5,0.43572961359080997,0.8,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.4593347638054023,0.501180257367634,3,0.47435622303287,0.6666666666666666,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.501180257367634,0.5280042917023979,2,0.5065450642345868,0.5,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.5280042917023979,0.5709227466380202,3,0.5351573675250016,0.3333333333333333,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.5709227466380202,0.5923819741058314,3,0.5744992845493221,0.0,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.5923819741058314,0.6353004290414538,2,0.5923819741058314,1.0,5.0,0.0
B3_misspec_regret__struct0__ml500__seed270001,B3.MISSPECIFICATION_REGRET_GRID,B,270001,uncorrected,0.6353004290414538,1.0,5,0.6374463517882349,0.6,5.0,0.0
