scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,ml_bias,structural_shift
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.0,0.1,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.1,0.2,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.2,0.30000000000000004,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.30000000000000004,0.4,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.4,0.5,2,0.49067744085599185,0.5,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.5,0.6000000000000001,1,0.5743524076185237,1.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.6000000000000001,0.7000000000000001,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.7000000000000001,0.8,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.8,0.9,0,0.0,0.0,0.0,0.1
B3_misspec_regret__struct10__ml0__seed100,B3.MISSPECIFICATION_REGRET_GRID,B,100,capopm,0.9,1.0,0,0.0,0.0,0.0,0.1
