scenario_name,experiment_id,tier,seed,model,bin_low,bin_high,count,mean_pred,mean_outcome,prior_n_ml_eff,prior_n_str
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.0,0.4773076912820529,3,0.46871794769230934,0.6666666666666666,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.4773076912820529,0.48538461435897595,2,0.4796153835897452,0.5,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.48538461435897595,0.48923076820512984,3,0.48538461435897595,0.3333333333333333,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.48923076820512984,0.4938461528205145,4,0.48923076820512984,0.25,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.4938461528205145,0.5026923066666683,3,0.49948717846154006,0.0,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.5026923066666683,0.5046153835897452,0,0.0,0.0,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.5046153835897452,0.5084615374358991,4,0.5046153835897452,0.25,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.5084615374358991,0.5207692297435913,5,0.5123076912820529,0.8,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.5207692297435913,0.5276923066666683,2,0.5238461528205144,0.5,200.0,200.0
C6_extreme_prior_mislead__seed307000,C6.EXTREME_PRIOR_MISLEAD,C,307000,structural_only,0.5276923066666683,1.0,4,0.535384614358976,1.0,200.0,200.0
